"","title","genres","release_date","release_country","movie_rating","review_rating","movie_run_time","plot","cast","language","filming_locations","budget","lon","lat"
"11","Falling (2016)","Drama| Horror| Romance| Thriller","8-Apr-16","USA",NA,7.1,"105 min","Directed by Ali Askari. With Josh Helman, Yael Stone, Jennifer Allcott, Paul Sorvino. After the death of his wife, Sarah, young widower Malcolm is reluctantly trying to put his life back together with the help of his plucky sister-in-law, Dee. When he meets Nya, a free spirited young woman, things seem to be looking up... until he starts seeing his dead wife everywhere, and she's not too happy about the fact that he's dating again.","Josh Helman|Yael Stone|Jennifer Allcott|Paul Sorvino|Yvonne Cone|Slate Holmgren|Danny Lane|Melissa Almas|Sashah Askari|Marc Brockett|Paul Buckley|Laura Calhoun|Joe Caruso|Kallie Flynn Childress|Heather Delia","English","Utica, New York, USA",NA,-75.232664,43.100903
"12","Bad Behavior (2015)","Horror","27-Oct-15","USA",NA,NA,"64 min","Directed by Curtis Everitt. With John Langston, Amelia Blue, Rex Roby, Peyton Hicks. Turner takes his friends out to a cabin in the woods. When they get there, they find out that their bad behavior will give way to a sinister turn of events.","John Langston|Amelia Blue|Rex Roby|Peyton Hicks|Brian Cannon|Samantha Kalahar|Aaron Keith|Blake Harthcock|Clayton Southerland|Melanie Calvert Benton|Nate Womack","English","Pelahatchie, Mississippi, USA","$1,023",-89.8047306,32.3125394
"13","Devil's Tower (2014)","Horror","16-Sep-14","UK",NA,3.4,"82 min","Directed by Owen Tooth. With Jason Mewes, Roxanne Pallett, Frances Ruffelle, Jessica-Jane Stafford. When Sid's friend goes missing, he and new girl Sarah investigate disappearances in their tower block. Uncovering the secret of a vengeful ghost possessing a horde of zombies, they must fight for their lives - and their souls.","Jason Mewes|Roxanne Pallett|Frances Ruffelle|Jessica-Jane Stafford|Emma Buckley|Kweku Amoa|Peter Barrett|Jason Owen Bee|Jason Thomas Brown|Jessica Ann Brownlie|Alison Carroll|Adam Dakin|Emily Denton-Davies|Lee Dilley|Steven Dolton","English","Derbyshire, England, UK","$3,000,000",-1.5623885,53.1046782
"14","I Am ZoZo (2012)","Horror| Thriller","18-Feb-12","USA","UNRATED",3.6,"85 min","Directed by Scott Di Lalla. With Kelly McLaren, Courtney Foxworthy, Demetrius Sager, Caleb Courtney. I Am ZoZo is a psychological thriller about five young people who play with a Ouija board on Halloween and attract the attention of a malevolent demon. The film is based on real experiences with an ancient and malevolent spirit called ZoZo that attaches itself to people exclusively through Ouija boards. I Am ZoZo was shot last fall on location on San Juan Island, WA and Seattle entirely on Kodak ...","Kelly McLaren|Courtney Foxworthy|Demetrius Sager|Caleb Courtney|Caleb Debattista|Darren Wayne Evans|John Vejvoda|Sophia Mitri Schloss|Demeri Millikin","English","San Juan Island, San Juan Islands, Washington, USA",NA,-123.0781062,48.5513671
"15","Before Dawn (2013)","Horror","8-Jun-13","Japan","NOT RATED",4.7,"82 min","Directed by Dominic Brunt. With Dominic Brunt, Joanne Mitchell, Eileen O'Brien, Nicky Evans. An estranged couple's vacation to save their troubled relationship goes awry when they find themselves under attack from the walking dead","Dominic Brunt|Joanne Mitchell|Eileen O'Brien|Nicky Evans|Alex Baldacci|Alan French|Holly Illis|David Nolan|Neale Myers|Bryn Hammond|Mark Charnock|Tony Earnshaw|Ian Jowett","English","Yorkshire, England, UK","£25,000",NA,NA
"16","Apparition (2015)","Fantasy| Horror| Thriller","5-May-15","USA","NOT RATED",4,"100 min","Directed by Quinn Saunders. With Katrina Law, Jody Quigley, Lili Bordán, Jarett Armstrong. When Doug's fiancée is killed in a car accident he retreats to their isolated farmhouse to recover from his loss, but supernatural occurrences leave him fearing for his sanity and reveal a secret she took with her to the grave.","Katrina Law|Jody Quigley|Lili Bordán|Jarett Armstrong|Rebeka Choudhury|Airen DeLaMater|Dave Droxler|Joseph Forsstrom|Pete Postiglione|Megan Rose|Thomas Roy|Tom Settefrati|Margo Trovei","English","Philadelphia, Pennsylvania, USA","$3,000,000",-75.1652215,39.9525839
"17","Don't Look in the Basement 2 (2015)","Horror| Thriller","25-May-16","USA",NA,4,"88 min","Directed by Tony Brownrigg. With Andrew Sensenig, Frank Mosley, Arianne Martin, Jim O'Rear. In 1972, the patients and doctors at Stephens Sanitarium were brutally murdered. Over forty years later, the only known survivor returns only to find the ghosts of the past have not been resting in peace.","Andrew Sensenig|Frank Mosley|Arianne Martin|Jim O'Rear|Scott Tepperman|Megan Emerick|Willie Minor|Camilla Carr|Earl Browning III|Brady McInnes|Carolyn King|Chester Rushing|Libby Hall|Kim Foster|Joseph Spector","English","Tehuacana, Texas, USA",NA,-96.5469283,31.7412763
"18","2: Voodoo Academy (2012)","Horror","1-Oct-12","USA",NA,4.5,"75 min","Directed by David DeCoteau. With Alex Fox, Michelle Bauer, Brandon Schinaman, Josh Randall. Young hot travelers are sidelined by a road blocked with fallen trees, and stop for a night at the mansion belonging to sexy Sebastian. The house has a history of voodoo, mayhem and horror, and new arrivals are fresh meat for the hungry house...","Alex Fox|Michelle Bauer|Brandon Schinaman|Josh Randall|Shawn McCormick|Alex Bugaj|Richie Nuzzolese","English","Malibu, California, USA","$1,000,000",-118.7797571,34.0259216
"19","Return of the Killer Shrews (2012)","Horror","2012","USA",NA,2.7,"84 min","Directed by Steve Latshaw. With John Schneider, Jennifer Lyons, Bruce Davison, James Best. Fifty-three years after being attacked by killer shrews on a remote island, Captain Thorne Sherman is hired by a reality television crew to return to the island in question. The shrews attack again in short order.","John Schneider|Jennifer Lyons|Bruce Davison|James Best|Jason-Shane Scott|Sean Flynn|Rick Hurst|Jeneta St. Clair|Katherine Randolph|Maggie Wagner|Holly Weber|Christopher Goodman|David Browning|Megan Rebelo|Jason Nguyen","English","Sanna Movie Ranch - Soledad Canyon Road, Agua Dulce, California, USA",NA,-118.3050709,34.4410772
"20","Septic Man (2013)","Horror","15-Aug-14","USA","R",4.1,"83 min","Directed by Jesse Thomas Cook. With Jason David Brown, Molly Dunsworth, Julian Richings, Robert Maillet. A sewage worker gets trapped inside a septic tank during a water contamination crisis and undergoes a hideous transformation.","Jason David Brown|Molly Dunsworth|Julian Richings|Robert Maillet|Timothy Burd|Stephen McHattie|Nicole G. Leier|Charlie Baker|Tony Burgess","English","Collingwood, Ontario, Canada",NA,-80.2169047,44.5007687
"21","The Perfect House (2013)","Horror","2013","USA",NA,4.3,"84 min","Directed by Kris Hulbert, Randy Kent. With Felissa Rose, Jonathan Tiersten, John Philbin, Dustin Stevens. A young couple's dream home turns into a house of horrors when the disturbing, violent acts of three generations of doomed families is reawakened for them to witness.","Felissa Rose|Jonathan Tiersten|John Philbin|Dustin Stevens|Monique Parent|Andrea Vahl|William A. Robertson|Kris Smith|Timothy Dugan|Alex Victoria|Michael Wagner|Holly Greene|Hans Hernke|Becky Friedman|Angelina Leigh","English","Buffalo, New York, USA",NA,-78.8783689,42.8864468
"22","Her Cry: La Llorona Investigation (2013)","Horror","19-Apr-13","USA","NOT RATED",5.4,"89 min","Directed by Damir Catic. With Nichole Ceballos, James Ezrin, Ron Gelner, Everardo Guzman. Crew of ""Paranormal Legends"" went to film their 4th season at the place where La Llorona (Weeping woman) was reportedly seen. Only thing that's left was 17 hours of tapes and 2 camcorders.","Nichole Ceballos|James Ezrin|Ron Gelner|Everardo Guzman|Parker Riggs|Gabrielle Santamauro","English","Houston, Texas, USA","$60,000",-95.3698028,29.7604267
"23","The Canadoo (2016)","Horror","2-Nov-16","USA",NA,4,"74 min","Directed by Raymond Wood. With Tyler Buckingham, Alina Lia, Dréy Wigfall, Ali Roberts. When five fame-hungry millennials are chosen to be contestants on a reality survival TV show, it appears they have been given a chance at celebrity stardom - but when a mixture of strange discoveries, unexplained occurrences, and mysterious disappearances plague the group, they begin to turn on one another, wondering if they are actually on a game show or if someone playing a game of their own.","Tyler Buckingham|Alina Lia|Dréy Wigfall|Ali Roberts|Teddy Cole|Brook Todd","English","Atlanta, Georgia, USA","$1,500,000",-84.3879824,33.7489954
"24","Inoperable (2017)","Horror","2017","USA",NA,NA,NA,"Directed by Christopher Lawrence Chapman. With Danielle Harris, Katie Keene, Chris Hahn, Jeff Denton. A young woman wakes up in a seemingly evacuated hospital with a hurricane approaching that has awakened malevolent forces inside. She realizes she must escape the hospital before the hurricane passes, or she will be trapped there forever.","Danielle Harris|Katie Keene|Chris Hahn|Jeff Denton|Crystal Cordero|Cher Hubsher|Gene Michael|Barry Aslinger|Isabella Sofia Menna|Khris Colgate|Michelle Marin|Dawn Hubsher|Jared Gopman|Brittni Amber Lombardo|Philip Schene","English","Tampa, Florida, USA",NA,-82.4571776,27.950575
"25","Ular Tangga (2017)","Horror| Thriller","9-Mar-17","Indonesia",NA,7.1,NA,"Directed by Arie Azis. With Ahmad Affandy, Alessia Cestaro, Shareefa Daanish, Egy Fedly. An indigo student who can see something bad is going to happen who come through a dream with her plan and friends for hiking a mountain but no one believe her.","Ahmad Affandy|Alessia Cestaro|Shareefa Daanish|Egy Fedly|Yova Garcia|Roy Martin|Vicky Monica|Fauzan Nasrul|Randa Septian|Guntur Triyoga","Indonesian","Gunung Pancar, Indonesia","$1,000,000",106.9119444,-6.5916667
"26","Haunted House on Sorority Row (2014)","Horror","21-Feb-14","USA","NOT RATED",5.6,"81 min","Directed by Henrique Couto. With Erin R. Ryan, Marylee Osborne, Iabou Windimere, Joni Durian. A fledging sorority moves into a dilapidated house only to find something evil is lurking in the shadows. Is it an elaborate hazing ritual? Or is something sinister - something paranormal - behind the mental and physical assault?","Erin R. Ryan|Marylee Osborne|Iabou Windimere|Joni Durian|Tonjia Atomic|Haley Madison|Joe Kidd|Tara Clark|Chandra McCracken|Rachael Redolfi|Eric Widing|Mike Hilinski|Brandi Baird|Rachel Ritter","English","Dayton, Ohio, USA","$65,000",-84.1916069,39.7589478
"27","Victimized (2014)","Drama| Horror| Thriller","27-Sep-14","USA",NA,6.9,"80 min","Directed by Michael Kenneth Fahr. With Michael Kenneth Fahr, Sarah Nicklin, Cuyle Carvin, Ellen J. Pilch. Matt Miller has spent his entire life living in the shadows of his brother. He believes if his brother were to disappear then so would all his problems. So one deadly night Matt decides to take matters into his own hands.","Michael Kenneth Fahr|Sarah Nicklin|Cuyle Carvin|Ellen J. Pilch|Jesse Murphy|Ron Phippen|Dustin Hubbard|Michael Omiecinski|Candice Cole|Mark Debenedictis|T.C. Top Cat Taylor|Joey Garcia|Peter Lucibello","English","Sarasota, Florida, USA",NA,-82.5306527,27.3364347
"28","The Unwanted (2014)","Drama| Horror| Mystery| Romance","31-Mar-14","USA",NA,4,"95 min","Directed by Bret Wood. With Hannah Fierman, Christen Orr, William Katt, Lynn Talley. In this Southern Gothic retelling of Sheridan Le Fanu's vampire story 'Carmilla,' a young drifter (Christen Orr) arrives in a rural town seeking the whereabouts of the mother she never knew. When she becomes sexually involved with an emotionally fragile waitress (Hannah Fierman), she exposes the secret of her mother's disappearance and incites the wrath of the girl's overprotective father (...","Hannah Fierman|Christen Orr|William Katt|Lynn Talley|Kylie Brown|Elizabeth Hunter|Chris Burns|Neal R. Hazard|Jane Bass|Robert Hatch","English","Atlanta, Georgia, USA",NA,-84.3879824,33.7489954
"29","Hotel Inferno (2013)","Action| Horror","16-Dec-13","USA",NA,4.7,"80 min","Directed by Giulio De Santi. With Rayner Bourton, Michael Howe, Jessica Carroll, Christian Riva. A cold-blooded seasoned contract killer is hired to take out a couple hidden in a hotel, but he will soon need to fight not only for his life but also for his soul, as this seemingly easy task will turn the hunter into prey.","Rayner Bourton|Michael Howe|Jessica Carroll|Christian Riva|Wilmar Zimosa|Santiago Ortaez|Monica Muñoz|Riccardo Valentini|Mauro Migliorini|Bonini Mino|Pierluigi Nitas|Enrique Sorres|Giulio De Santi|Carlos F.|Alessia Knox","English","Tunisia",NA,9.537499,33.886917
"30","The Onania Club (2017)","Drama| Horror| Thriller","2017","USA",NA,NA,NA,"Directed by Tom Six.",NA,"English","Los Angeles, California, USA",NA,-118.2436849,34.0522342
"31","Play Motel (1979)","Crime| Horror| Romance| Thriller","25-Aug-15","USA","X",5.3,"90 min","Directed by Mario Gariazzo. With Ray Lovelock, Anna Maria Rizzoli, Mario Cutini, Antonella Antinori. A reporter and his girlfriend investigate deaths surrounding a hotel where several prominent people go to have sex.","Ray Lovelock|Anna Maria Rizzoli|Mario Cutini|Antonella Antinori|Patrizia Behn|Enzo Fisichella|Marina Hedman|Mario Novelli|Marino Masé|Patrizia Webley|Vittorio Ripamonti|Bob Balisteri|Bruno Di Luia|Franco Beltramme|Michele Zurlaro","Italian","Cine International, Rome, Lazio, Italy",NA,12.4649737,41.8935146
"32","Turned (2015)","Drama| Horror","4-Sep-15","USA",NA,7.3,NA,"Directed by Chris R. Notarile. With Josh Rothman, Christian Chase, Roberto Lombardi, Athena Brensberger. When Jack, a rough and tough vampire slayer, is bitten by his arch-nemesis Monty, he has but one day left to live before he becomes the very thing he has been hunting for most of his life.","Josh Rothman|Christian Chase|Roberto Lombardi|Athena Brensberger|Seregon O'Dassey|MacKenzie Medwin|Sid O'Connell|Marissa Centrella|Arthur Koutsoumbaris|Joseph Pridmore|Mary Benedetto|Jonathan Boothe|Tara Haight|Edward John Socienski","English","Staten Island, New York, USA","$1,000",-74.1502007,40.5795317
"33","The Dark Castle (2015)","Horror| Thriller","28-Mar-15","Indonesia",NA,NA,"80 min","Directed by Sasha Mahé. With Rachel Albert, Bruno Henry, Laurent Paris, Rahajeng Sekar Putri. A newlywed couple who go on their honeymoon in St Jean Le Vieux, France are kidnapped by a local mysterious cult.","Rachel Albert|Bruno Henry|Laurent Paris|Rahajeng Sekar Putri|Panji Saputra","English|Indonesian","Pérouges, Ain, Rhône-Alpes, France",NA,5.1713807,45.9081868
"34","The Ouija Exorcism (2015)","Horror","6-Oct-15","USA","UNRATED",2.1,"87 min","Directed by Nick Slatkin. With J. Damian Anastasio, Brittney Bertier, Cameron Bigelow, Jay Brothers. In 1985, a celebrated exorcist trapped a horrific demon inside a ouija board. Thinking the board to be a game, his son played without obeying the rules, and let the demon loose. In order to save his son, the exorcist sent him far away until the demon could be destroyed. Thirty years later, and after his death, his grandson finds the board and makes the same mistake his father did. Now the evil is...","J. Damian Anastasio|Brittney Bertier|Cameron Bigelow|Jay Brothers|Tony Harutyunyan|Lola Kelly|Laura Kirchner|Walker Mintz|Ben Morrison|Lynne Newton|Michael Palladino|Julia Rae|Branden Smith","English","Los Angeles, California, USA",NA,-118.2436849,34.0522342
"35","Soldiers of the Damned (2015)","Action| Horror| Thriller| War","8-Aug-15","UK",NA,3.6,"99 min","Directed by Mark Nuttall. With Gil Darnell, Miriam Cooke, Lucas Hansen, Tom Sawyer. An evil secret awaits.","Gil Darnell|Miriam Cooke|Lucas Hansen|Tom Sawyer|Jason Kennedy|Mark Fountain|Matthew John Morley|Nicholas Keith|Nicky Bell|Renny Krupinski|Alan French|Andonis Anthony|Natalia Ryumina|Andrei Zayats|Stuart Adams","English","Cumbria, England, UK",NA,-2.7974835,54.5772323
"36","Smothered (2016)","Comedy| Horror","29-Mar-16","USA","NOT RATED",4.1,"96 min","Directed by John Schneider. With Kane Hodder, R.A. Mihailoff, Bill Moseley, Dane Rhodes. Five horror icons ditch an unprofitable autograph signing convention to earn some extra cash haunting an RV park, but find themselves being haunted instead.","Kane Hodder|R.A. Mihailoff|Bill Moseley|Dane Rhodes|Malcolm Danare|Don Shanks|Rachel Alana Handler|Amy Brassette|Ritchie Montgomery|Michael Berryman|Andrew Bowen|Joseph Randy Causin|Edward A. Chambers|Rebecca Collins|Aiden Flowers","English","Baton Rouge, Louisiana, USA",NA,-91.1871466,30.4514677
"37","Scars (2016)","Horror","23-Jan-17","UK",NA,3.9,"108 min","Directed by Sean K. Robb. With Danielle Cole, Neale Kimmel, Matt Wells, Eric Regimbald. SCARS is a psychological thriller, written and directed by Canadian filmmaker Sean K. Robb. In this stark and disturbing story, Scar - a raven-haired punk with blood under her fingernails - and Scarlett - a blond beauty with a penchant for extortion - discover that they enjoy killing men together. 'Killing dudes is easy,' says Scar, as the two women embark on a violent and ruthless killing spree,...","Danielle Cole|Neale Kimmel|Matt Wells|Eric Regimbald|Ophilia Davis|Nigel Downer|Chris Handfield|Greg LeGros|Jennifer McAuliffe|Jon Pressick|Ryan Alexander Scott II|Tennessee Webb","English","Toronto, Ontario, Canada",NA,-79.3831843,43.653226
"38","Legend Has It (2009)","Horror","17-Sep-14","UK","NOT RATED",4.1,"95 min","Directed by Max Nikoff. With Todd Oeltze, Julia Fazakerly, Heath Finn, Amanda Ward. A family of four was brutally slaughtered years in their farmhouse, and the killer was never caught. Now, a young film crew returns to find the bloody truth of the murders. Will they come out alive?","Todd Oeltze|Julia Fazakerly|Heath Finn|Amanda Ward|Jared Cohn|Theodore Perkins|Andreas Wigand|Teresa Berkin|Peter Choyce|Sebastien Szumilas|Mark Irvingsen|Jeff Blumberg|Jim Asseltyne|Mike Nelsen|Randy Hallusen","English","Pasadena, California, USA","$350,000",-118.1445155,34.1477849
"39","Sociopathia (2015)","Horror","19-Nov-15","USA",NA,4.3,"86 min","Directed by Ruby Larocca, Rich Mallery. With Nicola Fiore, Asta Paredes, Ruby Larocca, Tammy Jean. Introverted and peculiar, Mara spends her days fabricating props for movies. But her reclusive persona conceals an internal wrath. Terrified of being alone, Mara refuses to let her lovers leave, sadistically murdering them and keeping their corpses as living dolls. When she's hired by Kat, a fledgling producer, the two instantly hit it off. As their relationship grows more intense, Mara begins to...","Nicola Fiore|Asta Paredes|Ruby Larocca|Tammy Jean|George Stover|Rich Mallery|Nicolette le Faye|Brandy Noir|Desiree Saetia|Tabetha Ray|Matthew Garrett|Cori Dials|Sean Murray|Dante Rene|Nick Decarlo","English","Baltimore, Maryland, USA","$750,000",-76.6121893,39.2903848
"40","Echoes (2014)","Drama| Horror| Thriller","18-May-15","Sweden","NOT RATED",4.4,"93 min","Directed by Nils Timm. With Kate French, Steven Brand, Steve Hanks, Billy Wirth. Struggling with horrifying, sleep-paralysis induced visions, a young writer retreats with her boyfriend to an isolated desert house. As the visions intensify, she finds herself on the verge of losing her mind...or uncovering a life-threatening secret.","Kate French|Steven Brand|Steve Hanks|Billy Wirth|Caroline Whitney Smith|Kevin Brewerton|Nicolas Charles|Ivory Dortch|Tina Huang|Stacey Souther|Oxley","English","Joshua Tree, California, USA",NA,-116.3130661,34.134728
"41","In the Dark (2015)","Horror| Thriller","6-Oct-15","USA","TV-MA",4.1,"85 min","Directed by David Buchert, Chris St.Croix. With Scott Aaker, Andria Armstrong, Shannon Beals, Olivia Bishop. Twisted tales of terror featuring an axe wielding maniac, a sinister matchmaker and sin eating creature from hell.","Scott Aaker|Andria Armstrong|Shannon Beals|Olivia Bishop|Clay Brocker|Raven Bryant|Emily Byrd|Chris Carson|Chris Cavolo|Vince Cusomato|Leah Fincher|Katie Groshong|Cooper Guy|Justin Hand|William J. Harrison","English","Nashville, Tennessee, USA",NA,-86.7816016,36.1626638
"42","Hectic Knife (2016)","Action| Comedy| Horror","28-Jul-16","USA",NA,6.6,NA,"Directed by Greg DeLiso. With Peter Litvin, Georgia Kate Haege, J.J. Brine, John Munnelly. A put upon, knife wielding vigilante, Hectic Knife protects the city from scum, baddies and a new super villain bent on world domination, Piggly Doctor.","Peter Litvin|Georgia Kate Haege|J.J. Brine|John Munnelly|Don Abood|Michael Anthony|Andrea Baquero|Robert Bella|Richie Blackwood|Joe Cipriano|Niki Cipriano|Edward Colon|Andy Could|Alexis Cundiff|Leah Debene","English|Spanish","Bay Ridge, Brooklyn, New York City, New York, USA","$15,000",-74.0298767,40.6263732
"43","Toxin: 700 Days Left on Earth (2015)","Action| Drama| Horror","19-Apr-15","USA",NA,8.4,NA,"Directed by Shawn Welling. With Lee Majors, Isabella Blake-Thomas, Sarati, Elizabeth Blake-Thomas. 700 days after the U.S. president announces a new, rapidly spreading virus, a resulting plague has killed most of humanity and transformed the rest into mutants. The sole survivor, Sarah Teller (Sarati), and her canine companion, Ranger (Max the Dog), struggle valiantly to find a cure and restore the human race. When a mysterious force pulls her to a displaced mansion deep in the Texas hills, ...","Lee Majors|Isabella Blake-Thomas|Sarati|Elizabeth Blake-Thomas|Preslee Bishop|Nick W. Nicholson|Shawn Welling|Alexis B. Santiago|Michelle Ellen Jones|Bob Boudreaux|Lee Gailey|Matthew Carter|Reneé Redden-Somoza|Brandon Itz|Katia Hadjiyska","English","Mexia, Texas, USA","$30,000",-96.482203,31.6798895
